SRA	ID	Substrate	Country	GeographicOrigin	Latitude	Longitude	HOST_TYPE	HOST_ORDER	HOST_FAMILY	HOST_GENUS	HOST_NAME	Study	Pop	Pop_clade
ERR1308663	ERR1308663	rotten wood	China	China, Hainan, Qiongzhong: Wuzhi Mountain	18.8983333	109.7041666	plant	NA	NA	NA	NA	ERP014555	CHN-III	CHN-III
ERR1308675	ERR1308675	Tree	Malaysia	Malaysia	4.210484	101.975766	plant	Arecales	Arecaceae	Eugeissona	NA	ERP014555	CHN-X_mosaic	Malaysian
ERR1308682	ERR1308682	Soil	Taiwan	Sinyi_Nantou_Taiwan	23.6679756	120.9876321	soil	NA	NA	NA	NA	ERP014555	TW1	TW1
ERR1308704	ERR1308704	Fruit	Taiwan	Taiwan	23.69781	120.960515	fruit	Russulales	Russulaceae	Russula	NA	ERP014555	TW4b	TW4b
ERR1308705	ERR1308705	Flower	Slovakia	Male Levare_Slovakia	48.5019715	16.9704326	plant	Rosales	Rosaceae	Pyrus	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308709	ERR1308709	Human_clinical	USA	USA	41.87194	12.56738	clinical	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308713	ERR1308713	Fermentation	West Africa	West Africa	13.531665	-2.4604145	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS_mosaic	Wine_Clade
ERR1308724	ERR1308724	Fermentation	Ghana	Ghana	7.946527	-1.023194	fermentation	NA	NA	NA	NA	ERP014555	TW3a;Asian_Oak_mosaic	Wild_TW
ERR1308728	ERR1308728	Tree	France	Bordeaux_France	44.837789	-0.57918	plant	NA	NA	NA	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1308739	ERR1308739	Nature	USA	Pennsylvania_USA	41.2033216	-77.1945247	plant	Fagales	Fagaceae	Quercus	NA	ERP014555	North_American_Oak	North_American_Oak
ERR1308745	ERR1308745	Distillery	China	China	35.86166	104.195397	fermentation	NA	NA	NA	NA	ERP014555	AF_Mantou7;Baijiu	AF_Mantou7;Baijiu
ERR1308750	ERR1308750	Fermentation	Thailand	Thailand	15.870032	100.992541	fermentation	NA	NA	NA	NA	ERP014555	AF_Huangjiu	AF_Huangjiu
ERR1308755	ERR1308755	Wine	Georgia	Georgia	42.315407	43.356892	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308760	ERR1308760	Fermentation	Laos	Laos	19.85627	102.495496	fermentation	NA	NA	NA	NA	ERP014555	AF_Huangjiu	AF_Huangjiu
ERR1308764	ERR1308764	Nature	Slovenia	Slovenia	46.151241	14.995463	plant	Rosales	Rosaceae	Prunus	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308766	ERR1308766	Tree	Taiwan	Beinan_Taitung_Taiwan	22.7447427	121.0105733	plant	Rosales	Cannabaceae	Trema	NA	ERP014555	TW3a;Asian_Oak	TW3a;Asian_Oak
ERR1308805	ERR1308805	Sake	Japan	Japan	36.204824	138.252924	fermentation	NA	NA	NA	NA	ERP014555	AF_Sake	AF_Sake
ERR1308821	ERR1308821	NA	Slovenia	Ljubljana_Slovenia	46.0569465	14.5057515	NA	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308833	ERR1308833	Palm wine	Djibouti	Yoboki_Djibouti	11.5092056	42.1041441	fermentation	NA	NA	NA	NA	ERP014555	Philippines_mosaic	Wild_SouthEast_Asia
ERR1308846	ERR1308846	Wine	Australia	Australia	-25.274398	133.775136	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308863	ERR1308863	Tree	Slovakia	Male Zaluzie_Slovakia	48.4359812	17.9863254	plant	Rosales	Rosaceae	Prunus	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1308953	ERR1308953	Tree	China	Dongling Mountain_Beijing_China	39.9041999	116.4073963	plant	Fagales	Fagaceae	Quercus	NA	ERP014555	CHN-IV	CHN-IV
ERR1308963	ERR1308963	Palm wine	Burkina Faso	Burkina Faso	12.238333	-1.561593	fermentation	NA	NA	NA	NA	ERP014555	African_Palm_Wine	African_Palm_Wine
ERR1308996	ERR1308996	Nature	China	Bawangling Mountain_Hainan province_China	19.121175	109.083477	plant	NA	NA	NA	NA	ERP014555	CHN-I	CHN-I
ERR1309003	ERR1309003	Flower	Slovakia	Male levare_Slovakia	48.5019715	16.9704326	plant	Rosales	Rosaceae	Malus	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309012	ERR1309012	Tree	Ukraine	Kiev district_Ukraine	50.4501	30.5234	plant	Pinales	Pinaceae	Abies	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309052	ERR1309052	Soil	Hungary	Hungary	47.162494	19.5033041	soil	NA	NA	NA	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1309063	ERR1309063	Tree	Taiwan	Yuchih_Nantou_Taiwan	23.8753852	120.9187827	plant	Pinales	Podocarpaceae	Podocarpus	NA	ERP014555	Beer_Mixed_Origins	Beer_Mixed_Origins
ERR1309087	ERR1309087	Fermentation	Vietnam	Saigon_South Vietnam	10.8230989	106.6296638	fermentation	NA	NA	NA	NA	ERP014555	AF_Huangjiu	AF_Huangjiu
ERR1309143	ERR1309143	Soil	Taiwan	Jhuosi_Hualein_Taiwan	23.404007	121.2168466	soil	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309191	ERR1309191	Beer	Ivory Coast	Abengourou_Ivory Coast	6.7156982	-3.4801349	fermentation	NA	NA	NA	NA	ERP014555	African_Beer	African_Beer
ERR1309231	ERR1309231	Palm wine	Nigeria	Nigeria	9.081999	8.675277	fermentation	Palm wine	NA	NA	NA	ERP014555	African_Palm_Wine	African_Palm_Wine
ERR1309245	ERR1309245	Wine	Australia	McLaren Valley_Australia	-35.2210309	138.5461247	fermentation	Wine	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
ERR1309246	ERR1309246	Wine	Spain	Los Cerros_La Mancha_Spain	39.5379744	-2.6983868	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
